,pretty_formula,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
726,Ir7Ni40Ta53,Ir7 Ni40 Ta53,0.016024846,0.016024846,0.096724121,1.713,0.318363168,7.28,3.268784374,3,0,132.8349264,81.40431505,1.403,0.067043025,58.98,9.961999252,1.04E-07,77.11,34.59874388,2626.63,1002.639887,-0.389436571,0.12755102,0,0.336734694,0.535714286,0.596846292,0.066344807,0.144049465,-0.126971269
727,Ir7Ni41Ta52,Ir7 Ni41 Ta52,0.017478286,0.017478286,0.110855261,1.7171,0.317442931,7.33,3.267095506,3,0,131.6123816,81.56331453,1.402,0.066965434,59.13,9.952555435,1.03E-07,77.45,34.46598671,2611.01,1003.551625,-0.394366981,0.128287364,0,0.341885824,0.529826812,0.5950433,0.066616996,0.144914943,-0.127426533
728,Ir7Ni42Ta51,Ir7 Ni42 Ta51,0.018931485,0.018931485,0.124988888,1.7212,0.316546211,7.38,3.26521885,3,0,130.3898368,81.71716099,1.401,0.066885605,59.28,9.942692938,1.02E-07,77.79,34.34012756,2595.39,1004.379506,-0.398889077,0.129032258,0,0.347096774,0.523870968,0.593353292,0.06686044,0.145681789,-0.127613208
729,Ir7Ni43Ta50,Ir7 Ni43 Ta50,0.020384443,0.020384443,0.139124245,1.7253,0.315670998,7.43,3.263152061,3,0,129.167292,81.8662639,1.4,0.066803382,59.43,9.932393747,1.02E-07,78.13,34.22089186,2579.77,1005.126397,-0.402987481,0.129785853,0,0.352368592,0.517845555,0.591779477,0.067075216,0.146342157,-0.127517075
730,Ir7Ni44Ta49,Ir7 Ni44 Ta49,0.021837161,0.021837161,0.153260852,1.7294,0.314815387,7.48,3.260891973,3,0,127.9447472,82.01100501,1.399,0.0667186,59.58,9.921638108,1.01E-07,78.47,34.10803212,2564.15,1005.79476,-0.406647535,0.130548303,0,0.35770235,0.511749347,0.590325267,0.067261366,0.146888795,-0.127124689
731,Ir7Ni45Ta48,Ir7 Ni45 Ta48,0.023289638,0.023289638,0.165843728,1.7335,0.313977563,7.53,3.258434585,3,0,126.7222024,82.15174168,1.398,0.066631083,59.73,9.910404394,1.00E-07,78.81,34.00132617,2548.53,1006.386675,-0.40985539,0.131319764,0,0.363099146,0.50558109,0.588994321,0.067418889,0.147315099,-0.126423476
732,Ir7Ni46Ta47,Ir7 Ni46 Ta47,0.024741874,0.024741874,0.178099766,1.7376,0.313155789,7.58,3.255775038,3,0,125.4996576,82.28880985,1.397,0.066540644,59.88,9.898668969,9.99E-08,79.15,33.90057555,2532.91,1006.903863,-0.412598092,0.132100396,0,0.368560106,0.499339498,0.587790579,0.067547747,0.147615172,-0.125401822
733,Ir7Ni47Ta46,Ir7 Ni47 Ta46,0.02619387,0.02619387,0.190617185,1.7417,0.312348392,7.63,3.252907584,3,0,124.2771128,82.42252676,1.396,0.066447085,60.03,9.886406011,9.92E-08,79.49,33.80560422,2517.29,1007.3477,-0.414863664,0.132890365,0,0.374086379,0.493023256,0.586718315,0.067647865,0.147783872,-0.124049155
734,Ir7Ni48Ta45,Ir7 Ni48 Ta45,0.027645624,0.027645624,0.203347722,1.7458,0.311553754,7.68,3.249825543,3,0,123.054568,82.55319343,1.395,0.066350192,60.18,9.873587331,9.86E-08,79.83,33.71625749,2501.67,1007.719229,-0.416641181,0.13368984,0,0.379679144,0.486631016,0.585782177,0.067719127,0.147816862,-0.122356031
735,Ir7Ni49Ta44,Ir7 Ni49 Ta44,0.029097139,0.029097139,0.216253741,1.7499,0.3107703,7.73,3.246521253,3,0,121.8320232,82.68109692,1.394,0.066249735,60.33,9.860182149,9.80E-08,80.17,33.6324011,2486.05,1008.019171,-0.417920848,0.134498991,0,0.38533961,0.480161399,0.584987242,0.067761382,0.147710646,-0.120314211
736,Ir7Ni50Ta43,Ir7 Ni50 Ta43,0.030548412,0.030548412,0.225942471,1.754,0.309996487,7.78,3.242986005,3,0,120.6094784,82.80651246,1.393,0.066145469,60.48,9.84615685,9.73E-08,80.51,33.55392054,2470.43,1008.247925,-0.418694057,0.135317997,0,0.391069012,0.473612991,0.584339067,0.067774438,0.147462607,-0.117916732
737,Ir7Ni51Ta42,Ir7 Ni51 Ta42,0.031999445,0.031999445,0.212485294,1.7581,0.309230794,7.83,3.239209966,3,0,119.3869336,82.92970541,1.392,0.066037128,60.63,9.831474698,9.67E-08,80.85,33.48072052,2454.81,1008.405574,-0.418953457,0.136147039,0,0.396868618,0.466984343,0.583843753,0.067758065,0.147071032,-0.115157971
738,Ir7Ni52Ta41,Ir7 Ni52 Ta41,0.033450237,0.033450237,0.199123078,1.7622,0.308471712,7.88,3.235182091,3,0,118.1643888,83.05093317,1.391,0.065924422,60.78,9.816095518,9.61E-08,81.19,33.41272466,2439.19,1008.491876,-0.418693001,0.136986301,0,0.402739726,0.460273973,0.583508014,0.06771199,0.146535137,-0.112033712
