,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
484,Dy55 Al25 Co20,3,Dy55 Al25 Co20,0.000563359,0.00129671,0.01767767,1.4495,0.349007597,11.65,1.799859939,2.75,0.561360891,107.9070236,79.45335186,1.545,0.29697353,46,32.28028511,5.28E-07,84.8,120.7940118,1510.9675,434.4485042,-0.622262763,0.218579235,0.027322404,0.153005464,0.601092896,0.360445413,0.135057261,0.119306326,-0.241483346
485,Mg75Cu10Ni5Gd10,3,Mg75 Cu10 Ni5 Gd10,-0.016422407,0.020207078,0.046770717,1.388,0.339865317,4.1,5.658983688,1.5,1.344332145,43.24302,62.51558672,1.5075,0.172289683,68,21.31236419,1.69E-07,165.65,140.448743,1072.927,418.4021239,-0.116637596,0.463414634,0,0.365853659,0.170731707,1.561323841,0.08732045,0.050887243,-0.018952677
486,Gd36 Y20 Al24 Co20,3,Gd36 Y20 Al24 Co20,0.002450585,0.007926619,0.025248762,1.4384,0.322190239,9.12,3.941715097,2.76,0.498907103,92.65337826,61.4537888,1.578,0.295101936,46.72,27.64110287,6.10E-07,83.76,106.6793752,1508.0328,390.6155076,-0.960190652,0.297619048,0.035714286,0.291666667,0.375,0.495390259,0.140386538,0.1820822,-0.28498715
487,Gd60 Co15 Al25,3,Gd60 Co15 Al25,-0.010540273,0.010540273,0.023570226,1.4045,0.354036569,10.6,1.917205173,2.75,0.581238194,109.9353639,78.88550651,1.595,0.339514757,45.8,31.59883679,8.02E-07,80.35,126.795057,1449.5675,408.9190831,-0.549368141,0.24691358,0.030864198,0.203703704,0.518518519,0.330839936,0.129540239,0.102400013,-0.184246583
488,Sm40 Y15 Al25 Co20,3,Sm40 Y15 Al25 Co20,0.00202401,0.020293171,0.046770717,1.4295,0.339177842,8.7,3.685162083,2.75,0.512091556,92.01190115,60.75658832,1.5925,0.321858132,47.75,27.64630503,4.85E-07,86.5,108.6146071,1394.8175,386.0516504,-0.942590434,0.322580645,0.040322581,0.25,0.387096774,0.445088008,0.156812059,0.171739169,-0.25084188
489,Sm54 Al23 Ni23,3,Sm54 Al23 Ni23,0.006530331,0.022229315,0.048989795,1.4414,0.400833102,9.61,2.601379552,2.77,0.54211911,100.8996359,70.40993178,1.597,0.355813228,48.93,29.75966069,5.30E-07,82,115.0306962,1338.4381,347.2128557,-0.69914887,0.273597811,0.031463748,0.251709986,0.443228454,0.288320965,0.162213479,0.118658478,-0.172551254
490,Sm56 Al22 Ni22,3,Sm56 Al22 Ni22,0.001066256,0.021797553,0.073484692,1.4296,0.402822134,9.54,2.607394765,2.78,0.539485659,103.0500865,70.84576225,1.608,0.358166975,48.02,29.94509902,5.48E-07,79,115.2026119,1338.7234,343.308567,-0.669641032,0.272479564,0.029972752,0.239782016,0.457765668,0.288247054,0.16042571,0.112576871,-0.192829646
491,Sm58 Al21 Ni21,3,Sm58 Al21 Ni21,-0.00438666,0.020857416,0.055113519,1.4178,0.404714913,9.47,2.613133589,2.79,0.536955462,105.2005371,71.26001229,1.619,0.360403262,47.11,30.12134825,5.66E-07,76,115.3667589,1339.0087,339.5332827,-0.639601673,0.271370421,0.028493894,0.227951153,0.472184532,0.288399314,0.158406168,0.106792523,-0.157418511
492,Sm60 Fe10 Al10 Co15 Cu5,3,Sm60 Fe10 Al10 Co15 Cu5,-0.002296528,0.024548757,0.079900457,1.423,0.412353361,8.8,2.033335629,2.9,0.388922234,110.5159331,64.28201992,1.645,0.328544025,44.1,26.29151379,5.87E-07,74.3,131.2090512,1414.5355,319.3049489,-0.376442663,0.25,0.012820513,0.275641026,0.461538462,0.668335589,0.170397253,0.078457989,0.007618903
493,(Sm0.62Al0.14Ni0.12Cu0.12)97 Fe3,3,Sm60.14 Al13.58 Ni11.64 Cu11.64 Fe3,-0.00516023,0.021370656,0.084315005,1.42066,0.415736987,9.261,2.367702246,2.8642,0.445287743,109.9946131,65.78123473,1.63862,0.340149897,45.7128,28.72942908,5.82E-07,99.2836,172.0674396,1349.161854,280.5616298,-0.488558159,0.238339871,0.017183348,0.287890674,0.456586107,0.464072359,0.163964541,0.079512639,-0.040401181
