,pretty_formula,D_max,composition,mean simul. packing efficiency,mean abs simul. packing efficiency,dist from 1 clusters |APE| < 0.010,PymatgenData mean X,PymatgenData std_dev X,PymatgenData mean group,PymatgenData std_dev group,PymatgenData mean block,PymatgenData std_dev block,PymatgenData mean atomic_mass,PymatgenData std_dev atomic_mass,PymatgenData mean atomic_radius,PymatgenData std_dev atomic_radius,PymatgenData mean mendeleev_no,PymatgenData std_dev mendeleev_no,PymatgenData mean electrical_resistivity,PymatgenData mean thermal_conductivity,PymatgenData std_dev thermal_conductivity,PymatgenData mean melting_point,PymatgenData std_dev melting_point,Miedema_deltaH_amor,frac s valence electrons,frac p valence electrons,frac d valence electrons,frac f valence electrons,Yang omega,Yang delta,Miedema_deltaH_ami,Miedema_deltaH_am_min
4817,Co9Ni69.5P21.5,0,Co9 Ni69.5 P21.5,-0.013618553,0.013618553,0.047316899,1.9675,0.171645963,10.985,3.116934637,2.785,0.603987256,52.75525938,16.75920862,1.27475,0.21139554,71.675,14.15430969,7.69E-08,72.29574,55.5691877,1428.2995,854.9758689,-0.420272993,0.226372383,0.073005093,0.700622524,0,0.406562522,0.081297681,0.10515604,-0.042160964
4818,Co9Ni74P17,0,Co9 Ni74 P17,-0.00346193,0.019025797,0.038586123,1.9549,0.16560964,10.76,3.00953388,2.83,0.582814383,54.00264309,16.17090141,1.2905,0.203985034,70.64,13.65811312,7.57E-08,76.38012,53.61345309,1491.781,824.8914773,-0.354678519,0.220750552,0.056291391,0.722958057,0,0.470356241,0.073700446,0.094519317,-0.017772971
4819,Co10Ni68.5P21.5,0,Co10 Ni68.5 P21.5,-0.013614898,0.013614898,0.040892814,1.9672,0.169749827,10.975,3.087722825,2.785,0.596366266,52.75765733,16.54959375,1.27475,0.208728193,71.645,14.00354991,7.68E-08,72.38574,54.94801941,1428.6995,844.5069099,-0.433729454,0.226628895,0.073087819,0.700283286,0,0.416604078,0.081264287,0.108078145,-0.0469169
4820,Co10Ni71P19,0,Co10 Ni71 P19,0.001657492,0.017195816,0.04189935,1.9602,0.166476578,10.85,3.029240924,2.81,0.584937661,53.45064828,16.23192208,1.2835,0.204728181,71.07,13.73420917,7.61E-08,74.65484,53.8878718,1463.967,828.2483888,-0.398217278,0.223463687,0.063687151,0.712849162,0,0.450536847,0.077233125,0.101998765,-0.033109792
4821,Co10Ni73P17,0,Co10 Ni73 P17,-0.003460571,0.019051069,0.044969125,1.9546,0.163372045,10.75,2.974082348,2.83,0.574037382,54.00504104,15.92906367,1.2905,0.200913084,70.61,13.47909101,7.56E-08,76.47012,52.88192004,1492.181,812.7631791,-0.367172949,0.220994475,0.056353591,0.722651934,0,0.483311709,0.07367289,0.097332064,-0.022348847
4822,Co12.5Ni66P21.5,0,Co12.5 Ni66 P21.5,-0.013605702,0.013605702,0.018408935,1.96645,0.16560173,10.95,3.024622861,2.785,0.57951465,52.76365221,16.08643823,1.27475,0.202830128,71.57,13.67466701,7.65E-08,72.61074,53.58786579,1429.6995,821.416191,-0.464894661,0.227272727,0.073295455,0.699431818,0,0.439246532,0.081180321,0.115327799,-0.058706667
4823,Co12.5Ni68.5P19,0,Co12.5 Ni68.5 P19,0.001661505,0.01726621,0.022484563,1.95945,0.161942064,10.825,2.958988013,2.81,0.566798755,53.45664316,15.73283418,1.2835,0.198379564,70.995,13.37323791,7.58E-08,74.87984,52.40296411,1464.967,803.3015503,-0.427999987,0.224089636,0.063865546,0.712044818,0,0.476513964,0.077157234,0.108995728,-0.044470796
4824,Co12.5Ni70.5P17,0,Co12.5 Ni70.5 P17,-0.003457115,0.019114189,0.049385108,1.95385,0.158502628,10.725,2.897671319,2.83,0.554775813,54.01103591,15.39865213,1.2905,0.194171534,70.535,13.09035314,7.53E-08,76.69512,51.28883216,1493.181,786.1999574,-0.395250716,0.221606648,0.056509695,0.721883657,0,0.512650591,0.073603513,0.103906689,-0.03299678
4825,Co14Ni64.5P21.5,0,Co14 Ni64.5 P21.5,-0.013600145,0.013600145,0.027182511,1.966,0.163468626,10.935,2.99272978,2.785,0.570724225,52.76724913,15.84507933,1.27475,0.199753479,71.525,13.50618423,7.63E-08,72.74574,52.88756053,1430.2995,809.4115261,-0.481820207,0.227660785,0.073420603,0.698918611,0,0.451339176,0.08112961,0.11948662,-0.065451905
4826,Co14Ni67P19,0,Co14 Ni67 P19,0.001663953,0.017308407,0.012472191,1.959,0.159613229,10.81,2.923427292,2.81,0.557367073,53.46024008,15.4735485,1.2835,0.195078476,70.95,13.18844964,7.56E-08,75.01484,51.63953746,1465.567,790.3677716,-0.443907144,0.224466891,0.063973064,0.711560045,0,0.490432031,0.077111368,0.112882586,-0.050752234
4827,Co14Ni69P17,0,Co14 Ni69 P17,-0.003455002,0.019152021,0.038586123,1.9534,0.156007454,10.71,2.859013601,2.83,0.54479601,54.01463284,15.12404914,1.2905,0.190678603,70.49,12.891729,7.51E-08,76.83012,50.47173614,1493.781,772.473045,-0.409983531,0.221975583,0.056603774,0.721420644,0,0.528407089,0.073561551,0.107436294,-0.038674769
4828,Co16Ni65P19,0,Co16 Ni65 P19,0.001667264,0.017364622,0.032998316,1.9584,0.156898003,10.79,2.882573223,2.81,0.546233889,53.46503598,15.16775094,1.2835,0.191181861,70.89,12.97370353,7.54E-08,75.19484,50.74850022,1466.367,775.1450182,-0.462900202,0.224971879,0.064116985,0.710911136,0,0.507271469,0.077049825,0.11760426,-0.058343402
4829,Co20.9Pd62.6Si16.5,0,Co20.9 Pd62.6 Si16.5,0.024712043,0.024712043,0.098275292,2.08362,0.205592576,10.451,2.21915037,2.835,0.506418931,83.57006526,42.30933871,1.34005,0.148070884,70.595,9.144275649,0.00016508,90.722,39.0022465,1792.2263,71.58607219,-0.28629086,0.084990342,0.037495739,0.877513919,0,0.479982403,0.092380216,0.108158484,-0.027843544
4830,C18Co42Mo40,0,C18 Co42 Mo40,0.003261286,0.02162279,0.068829499,2.1126,0.303285871,8.7,3.562318637,2.82,0.483570371,65.2898679,37.83812188,1.273,0.342678723,66.38,17.48236482,1.85E-06,122.8,24.42494517,2584.96,962.5054758,0.033158429,0.231884058,0.052173913,0.715942029,0,0.632882408,0.180364351,0.152787986,-0.233604942
4831,C14Co46Mo40,0,C14 Co46 Mo40,0.018241866,0.018241866,0.046233105,2.0858,0.291841428,8.5,3.354346818,2.86,0.444709003,67.1667677,35.98278996,1.299,0.315366941,65.14,16.15262699,1.45E-06,121.2,25.08068452,2503.68,946.8391791,0.019729084,0.225352113,0.03943662,0.735211268,0,0.705624735,0.161387138,0.128364702,-0.148196926
